Date,Rate
2023-9,-0.64
2023-8,-0.73
2023-7,-0.93
2023-6,-0.89
2023-5,-0.56
2023-4,-0.56
2023-3,-0.64
2023-2,-0.78
2023-1,-0.68
2022-12,-0.67
2022-11,-0.61
2022-10,-0.40
2022-9,-0.34
2022-8,-0.35
2022-7,-0.14
2022-6,0.14
2022-5,0.28
2022-4,0.21
2022-3,0.22
2022-2,0.49
2022-1,0.78
2021-12,0.78
2021-11,1.05
2021-10,1.19
2021-9,1.13
2021-8,1.06
2021-7,1.10
2021-6,1.32
2021-5,1.47
2021-4,1.47
2021-3,1.46
2021-2,1.14
2021-1,0.95
2020-12,0.79
2020-11,0.70
2020-10,0.64
2020-9,0.55
2020-8,0.51
2020-7,0.47
2020-6,0.55
2020-5,0.50
2020-4,0.44
2020-3,0.42
2020-2,0.17
2020-1,0.24
2019-12,0.25
2019-11,0.20
2019-10,0.16
2019-9,0.05
2019-8,0.06
2019-7,0.22
2019-6,0.26
2019-5,0.19
2019-4,0.19
2019-3,0.16
2019-2,0.18
2019-1,0.17
2018-12,0.15
2018-11,0.26
2018-10,0.29
2018-9,0.23
2018-8,0.25
2018-7,0.28
2018-6,0.38
2018-5,0.47
2018-4,0.49
2018-3,0.56
2018-2,0.68
2018-1,0.55
2017-12,0.56
2017-11,0.65
2017-10,0.81
2017-9,0.82
2017-8,0.87
2017-7,0.95
2017-6,0.85
2017-5,1.00
2017-4,1.06
2017-3,1.17
2017-2,1.22
2017-1,1.22
2016-12,1.29
2016-11,1.16
2016-10,0.92
2016-9,0.86
2016-8,0.82
2016-7,0.83
2016-6,0.91
2016-5,0.99
2016-4,1.04
2016-3,1.01
2016-2,1.05
2016-1,1.19
2015-12,1.26
2015-11,1.38
2015-10,1.43
2015-9,1.46
2015-8,1.47
2015-7,1.65
2015-6,1.67
2015-5,1.59
2015-4,1.40
2015-3,1.40
2015-2,1.36
2015-1,1.33
2014-12,1.57
2014-11,1.80
2014-10,1.85
2014-9,1.96
2014-8,1.95
2014-7,2.03
2014-6,2.15
2014-5,2.17
2014-4,2.29
2014-3,2.32
2014-2,2.38
2014-1,2.47
2013-12,2.56
2013-11,2.42
2013-10,2.28
2013-9,2.41
2013-8,2.38
2013-7,2.24
2013-6,1.97
2013-5,1.68
2013-4,1.53
2013-3,1.70
2013-2,1.71
2013-1,1.64
2012-12,1.46
2012-11,1.38
2012-10,1.47
2012-9,1.46
2012-8,1.41
2012-7,1.28
2012-6,1.33
2012-5,1.51
2012-4,1.76
2012-3,1.83
2012-2,1.69
2012-1,1.73
2011-12,1.72
2011-11,1.76
2011-10,1.87
2011-9,1.77
2011-8,2.07
2011-7,2.59
2011-6,2.59
2011-5,2.61
2011-4,2.73
2011-3,2.71
2011-2,2.81
2011-1,2.78
2010-12,2.67
2010-11,2.31
2010-10,2.16
2010-9,2.17
2010-8,2.18
2010-7,2.39
2010-6,2.48
2010-5,2.59
2010-4,2.79
2010-3,2.77
2010-2,2.83
2010-1,2.80
2009-12,2.72
2009-11,2.60
2009-10,2.44
2009-9,2.44
2009-8,2.47
2009-7,2.54
2009-6,2.54
2009-5,2.36
2009-4,2.00
2009-3,1.89
2009-2,1.89
2009-1,1.71
2008-12,1.60
2008-11,2.32
2008-10,2.20
2008-9,1.61
2008-8,1.47
2008-7,1.44
2008-6,1.33
2008-5,1.43
2008-4,1.63
2008-3,1.89
2008-2,1.77
2008-1,1.26
2007-12,0.98
2007-11,0.81
2007-10,0.56
2007-9,0.51
2007-8,0.36
2007-7,0.18
2007-6,0.12
2007-5,-0.02
2007-4,0.02
2007-3,-0.01
2007-2,-0.13
2007-1,-0.12
2006-12,-0.11
2006-11,-0.14
2006-10,-0.07
2006-9,-0.05
2006-8,-0.02
2006-7,-0.03
2006-6,-0.01
2006-5,0.14
2006-4,0.10
2006-3,-0.01
2006-2,-0.10
2006-1,0.02
2005-12,0.07
2005-11,0.12
2005-10,0.19
2005-9,0.25
2005-8,0.22
2005-7,0.31
2005-6,0.36
2005-5,0.50
2005-4,0.69
2005-3,0.77
2005-2,0.79
2005-1,1.00
2004-12,1.22
2004-11,1.34
2004-10,1.52
2004-9,1.60
2004-8,1.77
2004-7,1.86
2004-6,1.97
2004-5,2.19
2004-4,2.28
2004-3,2.25
2004-2,2.34
2004-1,2.39
2003-12,2.36
2003-11,2.37
2003-10,2.54
2003-9,2.56
2003-8,2.59
2003-7,2.51
2003-6,2.10
2003-5,2.15
2003-4,2.34
2003-3,2.24
2003-2,2.27
2003-1,2.31
2002-12,2.19
2002-11,2.13
2002-10,2.03
2002-9,1.87
2002-8,2.13
2002-7,2.09
2002-6,1.94
2002-5,1.90
2002-4,1.79
2002-3,1.72
2002-2,1.89
2002-1,2.01
2001-12,1.98
2001-11,1.87
